"ID","ACTIVITY_DATE","TOTAL_STEPS","TOTAL_DISTANCE","TRACKER_DISTANCE","LOGGED_ACTIVITIES_DISTANCE","VERY_ACTIVE_DISTANCE","MODERATELY_ACTIVE_DISTANCE","LIGHT_ACTIVE_DISTANCE","SEDENTARY_ACTIVE_DISTANCE","VERY_ACTIVE_MINUTES","FAIRLY_ACTIVE_MINUTES","LIGHTLY_ACTIVE_MINUTES","SEDENTARY_MINUTES","CALORIES","SEDENTARY_HOURS","ACTIVE_HOURS"
1503960366,"2016-04-14 00:00:00",10460,6.74,6.74,0.0,2.44,0.4,3.91,0.0,30,11,181,1218,1776,20,3
1503960366,"2016-04-18 00:00:00",13019,8.59,8.59,0.0,3.25,0.64,4.71,0.0,42,16,233,1149,1921,19,4
1503960366,"2016-04-22 00:00:00",12764,8.13,8.13,0.0,4.76,1.12,2.24,0.0,66,27,130,1217,1827,20,3
1503960366,"2016-04-27 00:00:00",18134,12.21,12.21,0.0,6.4,0.41,5.41,0.0,78,11,243,1108,2159,18,5
1503960366,"2016-05-04 00:00:00",11100,7.15,7.15,0.0,2.46,0.87,3.82,0.0,36,22,203,1179,1819,19,4
1503960366,"2016-05-12 00:00:00",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,24,0
1624580081,"2016-04-12 00:00:00",8163,5.31,5.31,0.0,0.0,0.0,5.31,0.0,0,0,146,1294,1432,21,2
1624580081,"2016-04-13 00:00:00",7007,4.55,4.55,0.0,0.0,0.0,4.55,0.0,0,0,148,1292,1411,21,2
1624580081,"2016-04-14 00:00:00",9107,5.92,5.92,0.0,0.0,0.0,5.91,0.01,0,0,236,1204,1572,20,3
1624580081,"2016-04-15 00:00:00",1510,0.98,0.98,0.0,0.0,0.0,0.97,0.0,0,0,96,1344,1344,22,1
1624580081,"2016-04-16 00:00:00",5370,3.49,3.49,0.0,0.0,0.0,3.49,0.0,0,0,176,1264,1463,21,2
1624580081,"2016-04-17 00:00:00",6175,4.06,4.06,0.0,1.03,1.52,1.49,0.01,15,22,127,1276,1554,21,2
1624580081,"2016-04-18 00:00:00",10536,7.41,7.41,0.0,2.15,0.62,4.62,0.01,17,7,202,1214,1604,20,3
1624580081,"2016-04-19 00:00:00",2916,1.9,1.9,0.0,0.0,0.0,1.9,0.0,0,0,141,1299,1435,21,2
1624580081,"2016-04-20 00:00:00",4974,3.23,3.23,0.0,0.0,0.0,3.23,0.0,0,0,151,1289,1446,21,2
1624580081,"2016-04-21 00:00:00",6349,4.13,4.13,0.0,0.0,0.0,4.11,0.02,0,0,186,1254,1467,20,3
1624580081,"2016-04-22 00:00:00",4026,2.62,2.62,0.0,0.0,0.0,2.6,0.0,0,0,199,1241,1470,20,3
1624580081,"2016-04-23 00:00:00",8538,5.55,5.55,0.0,0.0,0.0,5.54,0.01,0,0,227,1213,1562,20,3
1624580081,"2016-04-24 00:00:00",6076,3.95,3.95,0.0,1.15,0.91,1.89,0.0,16,18,185,1221,1617,20,3
1624580081,"2016-04-25 00:00:00",6497,4.22,4.22,0.0,0.0,0.0,4.2,0.02,0,0,202,1238,1492,20,3
1624580081,"2016-04-26 00:00:00",2826,1.84,1.84,0.0,0.0,0.0,1.83,0.01,0,0,140,1300,1402,21,2
1624580081,"2016-04-27 00:00:00",8367,5.44,5.44,0.0,1.11,1.87,2.46,0.0,17,36,154,1233,1670,20,3
1624580081,"2016-04-28 00:00:00",2759,1.79,1.79,0.0,0.0,0.2,1.6,0.0,0,5,115,1320,1401,22,2
1624580081,"2016-04-29 00:00:00",2390,1.55,1.55,0.0,0.0,0.0,1.55,0.0,0,0,150,1290,1404,21,2
1624580081,"2016-04-30 00:00:00",6474,4.3,4.3,0.0,0.9,1.28,2.12,0.01,11,23,224,1182,1655,19,4
1624580081,"2016-05-01 00:00:00",36019,28.030001,28.030001,0.0,21.92,4.19,1.91,0.02,186,63,171,1020,2690,17,7
1624580081,"2016-05-02 00:00:00",7155,4.93,4.93,0.0,0.86,0.59,3.47,0.0,7,6,166,1261,1497,21,2
